xlat,xlong,qrain_avg_150.0,rainc_avg,rho_avg_150.0,wsp_avg_150.0
52.955715,4.881531,0.0000052947,0E-8,1.2228188033,9.3948389604
56.828506,5.070953,0.0000060824,0E-8,1.2267109721,10.8272317370
53.555893,4.789795,0.0000052088,0E-8,1.2234286810,10.1280966530
53.922485,5.593994,0.0000050812,0E-8,1.2239110449,10.1953484273
55.466118,6.412384,0.0000052728,0E-8,1.2252685344,10.5221700853
55.860310,5.743622,0.0000056278,0E-8,1.2256439707,10.6116893900
53.454151,5.971771,0.0000053745,0E-8,1.2240011246,9.5289324442
56.711407,6.149628,0.0000058637,0E-8,1.2265790580,10.8337024008
52.784584,6.243561,0.0000049369,0E-8,1.2225507177,8.4924736255
54.379570,6.203583,0.0000053233,0E-8,1.2242847937,10.3022045668
55.075047,4.808929,0.0000054617,0E-8,1.2248898729,10.4750461719
55.740742,6.843475,0.0000053068,0E-8,1.2256746344,10.5413957848
57.055099,5.166473,0.0000060853,0E-8,1.2269690392,10.8981817323
53.821938,6.502411,0.0000050912,0E-8,1.2243944465,10.0659627999
54.787102,5.737823,0.0000053100,0E-8,1.2245405265,10.4004256487
53.606670,4.405487,0.0000050151,0E-8,1.2233374424,10.1872223691
53.652966,4.627380,0.0000050102,0E-8,1.2234254005,10.1775145539
54.427841,5.720428,0.0000052737,0E-8,1.2242221902,10.3306513473
54.464695,4.098846,0.0000051745,0E-8,1.2242626850,10.3959142355
55.710026,6.362213,0.0000053223,0E-8,1.2255014588,10.5725015951
55.445141,4.961853,0.0000053303,0E-8,1.2253080654,10.5501959762
53.724491,5.170349,0.0000050925,0E-8,1.2236758238,10.1563626875
53.910645,5.081512,0.0000050632,0E-8,1.2237545463,10.2235493048
54.370201,5.685547,0.0000053470,0E-8,1.2241788905,10.3222857657
53.887630,6.256042,0.0000052672,0E-8,1.2242337776,10.1235736232
53.705177,6.013184,0.0000051407,0E-8,1.2241140726,10.0288352122
55.091469,5.382660,0.0000052155,0E-8,1.2248843098,10.4708037886
