Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Ireland,IRL,2015-01-01 00:00:00,2015-01-01 00:00:00,138.97
Ireland,IRL,2015-01-01 01:00:00,2015-01-01 01:00:00,74.78
Ireland,IRL,2015-01-01 02:00:00,2015-01-01 02:00:00,72.99
Ireland,IRL,2015-01-01 03:00:00,2015-01-01 03:00:00,78.79
Ireland,IRL,2015-01-01 04:00:00,2015-01-01 04:00:00,84.79
Ireland,IRL,2015-01-01 05:00:00,2015-01-01 05:00:00,84.79
Ireland,IRL,2015-01-01 06:00:00,2015-01-01 06:00:00,31.91
Ireland,IRL,2015-01-01 07:00:00,2015-01-01 07:00:00,29.57
Ireland,IRL,2015-01-01 08:00:00,2015-01-01 08:00:00,29.57
Ireland,IRL,2015-01-01 09:00:00,2015-01-01 09:00:00,29.57
Ireland,IRL,2015-01-01 10:00:00,2015-01-01 10:00:00,33.09
Ireland,IRL,2015-01-01 11:00:00,2015-01-01 11:00:00,33.27
Ireland,IRL,2015-01-01 12:00:00,2015-01-01 12:00:00,42.24
Ireland,IRL,2015-01-01 13:00:00,2015-01-01 13:00:00,34.91
Ireland,IRL,2015-01-01 14:00:00,2015-01-01 14:00:00,32.48
Ireland,IRL,2015-01-01 15:00:00,2015-01-01 15:00:00,30.98
Ireland,IRL,2015-01-01 16:00:00,2015-01-01 16:00:00,34.36
Ireland,IRL,2015-01-01 17:00:00,2015-01-01 17:00:00,72.43
Ireland,IRL,2015-01-01 18:00:00,2015-01-01 18:00:00,94.07
Ireland,IRL,2015-01-01 19:00:00,2015-01-01 19:00:00,69.06
Ireland,IRL,2015-01-01 20:00:00,2015-01-01 20:00:00,68.8
Ireland,IRL,2015-01-01 21:00:00,2015-01-01 21:00:00,105.0
Ireland,IRL,2015-01-01 22:00:00,2015-01-01 22:00:00,68.78
Ireland,IRL,2015-01-01 23:00:00,2015-01-01 23:00:00,72.55
Ireland,IRL,2015-01-02 00:00:00,2015-01-02 00:00:00,138.97
Ireland,IRL,2015-01-02 01:00:00,2015-01-02 01:00:00,74.78
Ireland,IRL,2015-01-02 02:00:00,2015-01-02 02:00:00,72.99
Ireland,IRL,2015-01-02 03:00:00,2015-01-02 03:00:00,78.79
Ireland,IRL,2015-01-02 04:00:00,2015-01-02 04:00:00,84.79
Ireland,IRL,2015-01-02 05:00:00,2015-01-02 05:00:00,84.79
Ireland,IRL,2015-01-02 06:00:00,2015-01-02 06:00:00,26.37
Ireland,IRL,2015-01-02 07:00:00,2015-01-02 07:00:00,35.06
Ireland,IRL,2015-01-02 08:00:00,2015-01-02 08:00:00,35.86
Ireland,IRL,2015-01-02 09:00:00,2015-01-02 09:00:00,41.07
Ireland,IRL,2015-01-02 10:00:00,2015-01-02 10:00:00,40.56
Ireland,IRL,2015-01-02 11:00:00,2015-01-02 11:00:00,71.7
Ireland,IRL,2015-01-02 12:00:00,2015-01-02 12:00:00,68.0
Ireland,IRL,2015-01-02 13:00:00,2015-01-02 13:00:00,42.29
Ireland,IRL,2015-01-02 14:00:00,2015-01-02 14:00:00,41.05
Ireland,IRL,2015-01-02 15:00:00,2015-01-02 15:00:00,40.56
Ireland,IRL,2015-01-02 16:00:00,2015-01-02 16:00:00,67.55
Ireland,IRL,2015-01-02 17:00:00,2015-01-02 17:00:00,255.6
Ireland,IRL,2015-01-02 18:00:00,2015-01-02 18:00:00,64.63
Ireland,IRL,2015-01-02 19:00:00,2015-01-02 19:00:00,67.86
Ireland,IRL,2015-01-02 20:00:00,2015-01-02 20:00:00,50.22
Ireland,IRL,2015-01-02 21:00:00,2015-01-02 21:00:00,43.04
Ireland,IRL,2015-01-02 22:00:00,2015-01-02 22:00:00,40.53
Ireland,IRL,2015-01-02 23:00:00,2015-01-02 23:00:00,40.11
Ireland,IRL,2015-01-03 00:00:00,2015-01-03 00:00:00,30.87
Ireland,IRL,2015-01-03 01:00:00,2015-01-03 01:00:00,30.87
Ireland,IRL,2015-01-03 02:00:00,2015-01-03 02:00:00,30.86
Ireland,IRL,2015-01-03 03:00:00,2015-01-03 03:00:00,30.59
Ireland,IRL,2015-01-03 04:00:00,2015-01-03 04:00:00,25.66
Ireland,IRL,2015-01-03 05:00:00,2015-01-03 05:00:00,25.66
Ireland,IRL,2015-01-03 06:00:00,2015-01-03 06:00:00,49.07
Ireland,IRL,2015-01-03 07:00:00,2015-01-03 07:00:00,38.69
Ireland,IRL,2015-01-03 08:00:00,2015-01-03 08:00:00,38.69
Ireland,IRL,2015-01-03 09:00:00,2015-01-03 09:00:00,38.69
Ireland,IRL,2015-01-03 10:00:00,2015-01-03 10:00:00,41.73
Ireland,IRL,2015-01-03 11:00:00,2015-01-03 11:00:00,42.12
Ireland,IRL,2015-01-03 12:00:00,2015-01-03 12:00:00,45.05
Ireland,IRL,2015-01-03 13:00:00,2015-01-03 13:00:00,45.3
Ireland,IRL,2015-01-03 14:00:00,2015-01-03 14:00:00,45.43
Ireland,IRL,2015-01-03 15:00:00,2015-01-03 15:00:00,45.48
Ireland,IRL,2015-01-03 16:00:00,2015-01-03 16:00:00,56.31
Ireland,IRL,2015-01-03 17:00:00,2015-01-03 17:00:00,74.75
Ireland,IRL,2015-01-03 18:00:00,2015-01-03 18:00:00,60.82
Ireland,IRL,2015-01-03 19:00:00,2015-01-03 19:00:00,61.17
Ireland,IRL,2015-01-03 20:00:00,2015-01-03 20:00:00,58.27
Ireland,IRL,2015-01-03 21:00:00,2015-01-03 21:00:00,52.26
Ireland,IRL,2015-01-03 22:00:00,2015-01-03 22:00:00,45.69
Ireland,IRL,2015-01-03 23:00:00,2015-01-03 23:00:00,45.65
Ireland,IRL,2015-01-04 00:00:00,2015-01-04 00:00:00,41.04
Ireland,IRL,2015-01-04 01:00:00,2015-01-04 01:00:00,38.7
Ireland,IRL,2015-01-04 02:00:00,2015-01-04 02:00:00,35.06
